region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0193,0.7963873066893914,scr2011,avaConv,runOfRiver
AT,h0194,0.7835060856042935,scr2011,avaConv,runOfRiver
AT,h0195,0.7706075073582255,scr2011,avaConv,runOfRiver
AT,h0196,0.7706075073582255,scr2011,avaConv,runOfRiver
AT,h0197,0.7706075073582255,scr2011,avaConv,runOfRiver
AT,h0198,0.7706075073582255,scr2011,avaConv,runOfRiver
AT,h0199,0.7701290862461001,scr2011,avaConv,runOfRiver
AT,h0200,0.7696506408316233,scr2011,avaConv,runOfRiver
AT,h0201,0.7691721710980992,scr2011,avaConv,runOfRiver
AT,h0202,0.7691721710980992,scr2011,avaConv,runOfRiver
AT,h0203,0.7691721710980992,scr2011,avaConv,runOfRiver
AT,h0204,0.7691721710980992,scr2011,avaConv,runOfRiver
AT,h0205,0.7785733312114331,scr2011,avaConv,runOfRiver
AT,h0206,0.7879652125750503,scr2011,avaConv,runOfRiver
AT,h0207,0.7973479374569323,scr2011,avaConv,runOfRiver
AT,h0208,0.7973479374569323,scr2011,avaConv,runOfRiver
AT,h0209,0.7973479374569323,scr2011,avaConv,runOfRiver
AT,h0210,0.7973479374569323,scr2011,avaConv,runOfRiver
AT,h0211,0.7951476396035855,scr2011,avaConv,runOfRiver
AT,h0212,0.7929468428861135,scr2011,avaConv,runOfRiver
AT,h0213,0.7907455457714727,scr2011,avaConv,runOfRiver
AT,h0214,0.7907455457714727,scr2011,avaConv,runOfRiver
AT,h0215,0.7907455457714727,scr2011,avaConv,runOfRiver
AT,h0216,0.7907455457714727,scr2011,avaConv,runOfRiver
AT,h0217,0.7937702476341819,scr2011,avaConv,runOfRiver
AT,h0218,0.7967940057376239,scr2011,avaConv,runOfRiver
AT,h0219,0.7998168240462677,scr2011,avaConv,runOfRiver
AT,h0220,0.7998168240462677,scr2011,avaConv,runOfRiver
AT,h0221,0.7998168240462677,scr2011,avaConv,runOfRiver
AT,h0222,0.7998168240462677,scr2011,avaConv,runOfRiver
AT,h0223,0.8014642949326405,scr2011,avaConv,runOfRiver
AT,h0224,0.8031114883333015,scr2011,avaConv,runOfRiver
AT,h0225,0.8047584048786065,scr2011,avaConv,runOfRiver
AT,h0226,0.8047584048786065,scr2011,avaConv,runOfRiver
AT,h0227,0.8047584048786065,scr2011,avaConv,runOfRiver
AT,h0228,0.8047584048786065,scr2011,avaConv,runOfRiver
AT,h0229,0.8052784075063584,scr2011,avaConv,runOfRiver
AT,h0230,0.8057983826095765,scr2011,avaConv,runOfRiver
AT,h0231,0.8063183302079391,scr2011,avaConv,runOfRiver
AT,h0232,0.8063183302079391,scr2011,avaConv,runOfRiver
AT,h0233,0.8063183302079391,scr2011,avaConv,runOfRiver
AT,h0234,0.8063183302079391,scr2011,avaConv,runOfRiver
AT,h0235,0.8050233603063659,scr2011,avaConv,runOfRiver
AT,h0236,0.8037282196241973,scr2011,avaConv,runOfRiver
AT,h0237,0.8024329078565231,scr2011,avaConv,runOfRiver
AT,h0238,0.8024329078565231,scr2011,avaConv,runOfRiver
AT,h0239,0.8024329078565231,scr2011,avaConv,runOfRiver
AT,h0240,0.8024329078565231,scr2011,avaConv,runOfRiver
CH,h0193,0.5516541503096507,scr2011,avaConv,runOfRiver
CH,h0194,0.5438258996928853,scr2011,avaConv,runOfRiver
CH,h0195,0.5359919610589771,scr2011,avaConv,runOfRiver
CH,h0196,0.5359919610589771,scr2011,avaConv,runOfRiver
CH,h0197,0.5359919610589771,scr2011,avaConv,runOfRiver
CH,h0198,0.5359919610589771,scr2011,avaConv,runOfRiver
CH,h0199,0.5355151830532304,scr2011,avaConv,runOfRiver
CH,h0200,0.5350383836494447,scr2011,avaConv,runOfRiver
CH,h0201,0.5345615628273954,scr2011,avaConv,runOfRiver
CH,h0202,0.5345615628273954,scr2011,avaConv,runOfRiver
CH,h0203,0.5345615628273954,scr2011,avaConv,runOfRiver
CH,h0204,0.5345615628273954,scr2011,avaConv,runOfRiver
CH,h0205,0.53904589735255,scr2011,avaConv,runOfRiver
CH,h0206,0.5435283516892023,scr2011,avaConv,runOfRiver
CH,h0207,0.5480089422857347,scr2011,avaConv,runOfRiver
CH,h0208,0.5480089422857347,scr2011,avaConv,runOfRiver
CH,h0209,0.5480089422857347,scr2011,avaConv,runOfRiver
CH,h0210,0.5480089422857347,scr2011,avaConv,runOfRiver
CH,h0211,0.5470632155877608,scr2011,avaConv,runOfRiver
CH,h0212,0.5461174064010347,scr2011,avaConv,runOfRiver
CH,h0213,0.5451715145739102,scr2011,avaConv,runOfRiver
CH,h0214,0.5451715145739102,scr2011,avaConv,runOfRiver
CH,h0215,0.5451715145739102,scr2011,avaConv,runOfRiver
CH,h0216,0.5451715145739102,scr2011,avaConv,runOfRiver
CH,h0217,0.5472723876447433,scr2011,avaConv,runOfRiver
