region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h4369,0.0,scr2002,avaConv,solar
AL,h4370,0.0,scr2002,avaConv,solar
AL,h4371,0.0,scr2002,avaConv,solar
AL,h4372,0.0007670841827298076,scr2002,avaConv,solar
AL,h4373,0.035210796492816145,scr2002,avaConv,solar
AL,h4374,0.11284363835818004,scr2002,avaConv,solar
AL,h4375,0.2358055614520769,scr2002,avaConv,solar
AL,h4376,0.37200706454605237,scr2002,avaConv,solar
AL,h4377,0.5066867134600355,scr2002,avaConv,solar
AL,h4378,0.625677480426973,scr2002,avaConv,solar
AL,h4379,0.7077379065228129,scr2002,avaConv,solar
AL,h4380,0.7421985182407889,scr2002,avaConv,solar
AL,h4381,0.7204202380227339,scr2002,avaConv,solar
AL,h4382,0.6403956013744935,scr2002,avaConv,solar
AL,h4383,0.5072384716944626,scr2002,avaConv,solar
AL,h4384,0.322487784462627,scr2002,avaConv,solar
AL,h4385,0.14715621985760433,scr2002,avaConv,solar
AL,h4386,0.048870926378667454,scr2002,avaConv,solar
AL,h4387,0.013288230276348506,scr2002,avaConv,solar
AL,h4388,0.011767254648922894,scr2002,avaConv,solar
AL,h4389,0.0,scr2002,avaConv,solar
AL,h4390,0.0,scr2002,avaConv,solar
AL,h4391,0.0,scr2002,avaConv,solar
AL,h4392,0.0,scr2002,avaConv,solar
AL,h4393,0.0,scr2002,avaConv,solar
AL,h4394,0.0,scr2002,avaConv,solar
AL,h4395,0.0,scr2002,avaConv,solar
AL,h4396,0.000897192141775187,scr2002,avaConv,solar
AL,h4397,0.03671633963339699,scr2002,avaConv,solar
AL,h4398,0.11815997982745693,scr2002,avaConv,solar
AL,h4399,0.24772821356895774,scr2002,avaConv,solar
AL,h4400,0.3844100305838289,scr2002,avaConv,solar
AL,h4401,0.5150618983733748,scr2002,avaConv,solar
AL,h4402,0.6276453118855748,scr2002,avaConv,solar
AL,h4403,0.7054790156077704,scr2002,avaConv,solar
AL,h4404,0.7322606640440195,scr2002,avaConv,solar
AL,h4405,0.7067968958014111,scr2002,avaConv,solar
AL,h4406,0.6249131848570919,scr2002,avaConv,solar
AL,h4407,0.4965837836985859,scr2002,avaConv,solar
AL,h4408,0.31334173201396104,scr2002,avaConv,solar
AL,h4409,0.14195439298474666,scr2002,avaConv,solar
AL,h4410,0.04381831374195917,scr2002,avaConv,solar
AL,h4411,0.010207657505674001,scr2002,avaConv,solar
AL,h4412,0.009164093415058782,scr2002,avaConv,solar
AL,h4413,0.0,scr2002,avaConv,solar
AL,h4414,0.0,scr2002,avaConv,solar
AL,h4415,0.0,scr2002,avaConv,solar
AL,h4416,0.0,scr2002,avaConv,solar
AL,h4417,0.0,scr2002,avaConv,solar
AL,h4418,0.0,scr2002,avaConv,solar
