region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h4369,0.2530839154060794,scr2003,avaConv,wind
AL,h4370,0.24119625006695475,scr2003,avaConv,wind
AL,h4371,0.2210542110663195,scr2003,avaConv,wind
AL,h4372,0.19446125326940156,scr2003,avaConv,wind
AL,h4373,0.1647839549406955,scr2003,avaConv,wind
AL,h4374,0.1350229954870438,scr2003,avaConv,wind
AL,h4375,0.10893374836384484,scr2003,avaConv,wind
AL,h4376,0.08784062828928096,scr2003,avaConv,wind
AL,h4377,0.07183161518779381,scr2003,avaConv,wind
AL,h4378,0.05902781863583953,scr2003,avaConv,wind
AL,h4379,0.04800979520089777,scr2003,avaConv,wind
AL,h4380,0.03800459276792507,scr2003,avaConv,wind
AL,h4381,0.02939801183248547,scr2003,avaConv,wind
AL,h4382,0.02222163820231586,scr2003,avaConv,wind
AL,h4383,0.01648346853524491,scr2003,avaConv,wind
AL,h4384,0.011307454592386239,scr2003,avaConv,wind
AL,h4385,0.007495653412417028,scr2003,avaConv,wind
AL,h4386,0.00603837698953272,scr2003,avaConv,wind
AL,h4387,0.007210604257294922,scr2003,avaConv,wind
AL,h4388,0.010118779204731539,scr2003,avaConv,wind
AL,h4389,0.012279359653737358,scr2003,avaConv,wind
AL,h4390,0.012136202116230795,scr2003,avaConv,wind
AL,h4391,0.008324967721697758,scr2003,avaConv,wind
AL,h4392,0.003870114459222198,scr2003,avaConv,wind
AL,h4393,0.0008189686920585663,scr2003,avaConv,wind
AL,h4394,0.0,scr2003,avaConv,wind
AL,h4395,0.0003900377988717267,scr2003,avaConv,wind
AL,h4396,0.0022507959891483083,scr2003,avaConv,wind
AL,h4397,0.005978871875935501,scr2003,avaConv,wind
AL,h4398,0.01134884860847104,scr2003,avaConv,wind
AL,h4399,0.015667037543012022,scr2003,avaConv,wind
AL,h4400,0.016347769478859873,scr2003,avaConv,wind
AL,h4401,0.014221986060661884,scr2003,avaConv,wind
AL,h4402,0.01087012188842711,scr2003,avaConv,wind
AL,h4403,0.00860133674185143,scr2003,avaConv,wind
AL,h4404,0.006739154075353743,scr2003,avaConv,wind
AL,h4405,0.005642867489651363,scr2003,avaConv,wind
AL,h4406,0.004106463065476271,scr2003,avaConv,wind
AL,h4407,0.003534447133076836,scr2003,avaConv,wind
AL,h4408,0.0021796972859787008,scr2003,avaConv,wind
AL,h4409,0.0017679619237737107,scr2003,avaConv,wind
AL,h4410,0.0006199668059841328,scr2003,avaConv,wind
AL,h4411,0.00024387258704946103,scr2003,avaConv,wind
AL,h4412,0.0,scr2003,avaConv,wind
AL,h4413,0.00010626360908526926,scr2003,avaConv,wind
AL,h4414,0.0004854775459158188,scr2003,avaConv,wind
AL,h4415,0.0021493808034240345,scr2003,avaConv,wind
AL,h4416,0.005244812351262376,scr2003,avaConv,wind
AL,h4417,0.009001048113638008,scr2003,avaConv,wind
AL,h4418,0.01201341085912432,scr2003,avaConv,wind
AL,h4419,0.013683606898687726,scr2003,avaConv,wind
AL,h4420,0.014192676475537496,scr2003,avaConv,wind
AL,h4421,0.013760521544514527,scr2003,avaConv,wind
AL,h4422,0.012529757074856714,scr2003,avaConv,wind
AL,h4423,0.01077403862226771,scr2003,avaConv,wind
AL,h4424,0.00862825032285488,scr2003,avaConv,wind
AL,h4425,0.007005823970708104,scr2003,avaConv,wind
AL,h4426,0.00624422536604202,scr2003,avaConv,wind
AL,h4427,0.006941236869850916,scr2003,avaConv,wind
AL,h4428,0.008395601461648042,scr2003,avaConv,wind
AL,h4429,0.010005917769913691,scr2003,avaConv,wind
AL,h4430,0.010535002437531919,scr2003,avaConv,wind
AL,h4431,0.009411453345153965,scr2003,avaConv,wind
AL,h4432,0.0073751330262195,scr2003,avaConv,wind
AL,h4433,0.005029421817214517,scr2003,avaConv,wind
