region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0721,0.0,scr1998,avaConv,solar
AL,h0722,0.0,scr1998,avaConv,solar
AL,h0723,0.0,scr1998,avaConv,solar
AL,h0724,0.0,scr1998,avaConv,solar
AL,h0725,0.0,scr1998,avaConv,solar
AL,h0726,0.0,scr1998,avaConv,solar
AL,h0727,0.009915496767263521,scr1998,avaConv,solar
AL,h0728,0.050239659406639076,scr1998,avaConv,solar
AL,h0729,0.11736966319547727,scr1998,avaConv,solar
AL,h0730,0.21143048663094743,scr1998,avaConv,solar
AL,h0731,0.29524694816697705,scr1998,avaConv,solar
AL,h0732,0.351094267369937,scr1998,avaConv,solar
AL,h0733,0.37356777465303354,scr1998,avaConv,solar
AL,h0734,0.3496802078941438,scr1998,avaConv,solar
AL,h0735,0.35052427998182634,scr1998,avaConv,solar
AL,h0736,0.21982016310791153,scr1998,avaConv,solar
AL,h0737,0.11674898132009882,scr1998,avaConv,solar
AL,h0738,0.00020997546961639454,scr1998,avaConv,solar
AL,h0739,0.0,scr1998,avaConv,solar
AL,h0740,0.0,scr1998,avaConv,solar
AL,h0741,0.0,scr1998,avaConv,solar
AL,h0742,0.0,scr1998,avaConv,solar
AL,h0743,0.0,scr1998,avaConv,solar
AL,h0744,0.0,scr1998,avaConv,solar
AL,h0745,0.0,scr1998,avaConv,solar
AL,h0746,0.0,scr1998,avaConv,solar
AL,h0747,0.0,scr1998,avaConv,solar
AL,h0748,0.0,scr1998,avaConv,solar
AL,h0749,0.0,scr1998,avaConv,solar
AL,h0750,0.0,scr1998,avaConv,solar
AL,h0751,0.006781364036950087,scr1998,avaConv,solar
AL,h0752,0.03835639159049561,scr1998,avaConv,solar
AL,h0753,0.09943396507817048,scr1998,avaConv,solar
AL,h0754,0.17275870705798885,scr1998,avaConv,solar
AL,h0755,0.2279852308461359,scr1998,avaConv,solar
AL,h0756,0.25715757247738696,scr1998,avaConv,solar
AL,h0757,0.24787369478087176,scr1998,avaConv,solar
AL,h0758,0.2176825418915627,scr1998,avaConv,solar
AL,h0759,0.21002558598218835,scr1998,avaConv,solar
AL,h0760,0.13756682914898727,scr1998,avaConv,solar
AL,h0761,0.0788825623220041,scr1998,avaConv,solar
AL,h0762,0.0006865675294796862,scr1998,avaConv,solar
AL,h0763,0.0,scr1998,avaConv,solar
AL,h0764,0.0,scr1998,avaConv,solar
AL,h0765,0.0,scr1998,avaConv,solar
AL,h0766,0.0,scr1998,avaConv,solar
AL,h0767,0.0,scr1998,avaConv,solar
AL,h0768,0.0,scr1998,avaConv,solar
AL,h0769,0.0,scr1998,avaConv,solar
AL,h0770,0.0,scr1998,avaConv,solar
AL,h0771,0.0,scr1998,avaConv,solar
AL,h0772,0.0,scr1998,avaConv,solar
AL,h0773,0.0,scr1998,avaConv,solar
