region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0289,0.9262225746946745,scr1999,avaConv,runOfRiver
AT,h0290,0.938157517803068,scr1999,avaConv,runOfRiver
AT,h0291,0.9501055950029745,scr1999,avaConv,runOfRiver
AT,h0292,0.9501055950029745,scr1999,avaConv,runOfRiver
AT,h0293,0.9501055950029745,scr1999,avaConv,runOfRiver
AT,h0294,0.9501055950029745,scr1999,avaConv,runOfRiver
AT,h0295,0.9574000016563057,scr1999,avaConv,runOfRiver
AT,h0296,0.9646992092491918,scr1999,avaConv,runOfRiver
AT,h0297,0.972003186102417,scr1999,avaConv,runOfRiver
AT,h0298,0.972003186102417,scr1999,avaConv,runOfRiver
AT,h0299,0.972003186102417,scr1999,avaConv,runOfRiver
AT,h0300,0.972003186102417,scr1999,avaConv,runOfRiver
AT,h0301,0.970635357458933,scr1999,avaConv,runOfRiver
AT,h0302,0.969267695095963,scr1999,avaConv,runOfRiver
AT,h0303,0.9679001992179181,scr1999,avaConv,runOfRiver
AT,h0304,0.9679001992179181,scr1999,avaConv,runOfRiver
AT,h0305,0.9679001992179181,scr1999,avaConv,runOfRiver
AT,h0306,0.9679001992179181,scr1999,avaConv,runOfRiver
AT,h0307,0.9554986583526452,scr1999,avaConv,runOfRiver
AT,h0308,0.9431109989387565,scr1999,avaConv,runOfRiver
AT,h0309,0.9307373798690014,scr1999,avaConv,runOfRiver
AT,h0310,0.9307373798690014,scr1999,avaConv,runOfRiver
AT,h0311,0.9307373798690014,scr1999,avaConv,runOfRiver
AT,h0312,0.9307373798690014,scr1999,avaConv,runOfRiver
AT,h0313,0.9114442597543877,scr1999,avaConv,runOfRiver
AT,h0314,0.8921864121105056,scr1999,avaConv,runOfRiver
AT,h0315,0.8729645017107525,scr1999,avaConv,runOfRiver
AT,h0316,0.8729645017107525,scr1999,avaConv,runOfRiver
AT,h0317,0.8729645017107525,scr1999,avaConv,runOfRiver
AT,h0318,0.8729645017107525,scr1999,avaConv,runOfRiver
AT,h0319,0.8773201768780744,scr1999,avaConv,runOfRiver
AT,h0320,0.8816777272880284,scr1999,avaConv,runOfRiver
AT,h0321,0.8860371448261519,scr1999,avaConv,runOfRiver
AT,h0322,0.8860371448261519,scr1999,avaConv,runOfRiver
AT,h0323,0.8860371448261519,scr1999,avaConv,runOfRiver
AT,h0324,0.8860371448261519,scr1999,avaConv,runOfRiver
AT,h0325,0.8786811203783277,scr1999,avaConv,runOfRiver
AT,h0326,0.8713304296246885,scr1999,avaConv,runOfRiver
AT,h0327,0.8639851119380104,scr1999,avaConv,runOfRiver
AT,h0328,0.8639851119380104,scr1999,avaConv,runOfRiver
AT,h0329,0.8639851119380104,scr1999,avaConv,runOfRiver
AT,h0330,0.8639851119380104,scr1999,avaConv,runOfRiver
AT,h0331,0.86150941648279,scr1999,avaConv,runOfRiver
AT,h0332,0.8590343380928798,scr1999,avaConv,runOfRiver
AT,h0333,0.8565598783258148,scr1999,avaConv,runOfRiver
AT,h0334,0.8565598783258148,scr1999,avaConv,runOfRiver
AT,h0335,0.8565598783258148,scr1999,avaConv,runOfRiver
AT,h0336,0.8565598783258148,scr1999,avaConv,runOfRiver
CH,h0289,0.47473487904916933,scr1999,avaConv,runOfRiver
CH,h0290,0.4712444534622979,scr1999,avaConv,runOfRiver
CH,h0291,0.4677545424095073,scr1999,avaConv,runOfRiver
CH,h0292,0.4677545424095073,scr1999,avaConv,runOfRiver
CH,h0293,0.4677545424095073,scr1999,avaConv,runOfRiver
CH,h0294,0.4677545424095073,scr1999,avaConv,runOfRiver
CH,h0295,0.4654385660105042,scr1999,avaConv,runOfRiver
CH,h0296,0.46312281900635577,scr1999,avaConv,runOfRiver
CH,h0297,0.4608073025102437,scr1999,avaConv,runOfRiver
CH,h0298,0.4608073025102437,scr1999,avaConv,runOfRiver
CH,h0299,0.4608073025102437,scr1999,avaConv,runOfRiver
CH,h0300,0.4608073025102437,scr1999,avaConv,runOfRiver
CH,h0301,0.4585070730414702,scr1999,avaConv,runOfRiver
CH,h0302,0.45620707331533267,scr1999,avaConv,runOfRiver
CH,h0303,0.45390730445608124,scr1999,avaConv,runOfRiver
CH,h0304,0.45390730445608124,scr1999,avaConv,runOfRiver
CH,h0305,0.45390730445608124,scr1999,avaConv,runOfRiver
CH,h0306,0.45390730445608124,scr1999,avaConv,runOfRiver
