region_1,timestep_6,value,scenario_1,parameter,technology_3
AT,h0337,0.6970119344735638,scr2008,stInflow,reservoir
AT,h0338,0.7423198527434545,scr2008,stInflow,reservoir
AT,h0339,0.787655456076966,scr2008,stInflow,reservoir
AT,h0340,0.787655456076966,scr2008,stInflow,reservoir
AT,h0341,0.787655456076966,scr2008,stInflow,reservoir
AT,h0342,0.787655456076966,scr2008,stInflow,reservoir
AT,h0343,0.787655456076966,scr2008,stInflow,reservoir
AT,h0344,0.787655456076966,scr2008,stInflow,reservoir
AT,h0345,0.787655456076966,scr2008,stInflow,reservoir
AT,h0346,0.787655456076966,scr2008,stInflow,reservoir
AT,h0347,0.787655456076966,scr2008,stInflow,reservoir
AT,h0348,0.787655456076966,scr2008,stInflow,reservoir
AT,h0349,0.8172263234144904,scr2008,stInflow,reservoir
AT,h0350,0.8468078959179052,scr2008,stInflow,reservoir
AT,h0351,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0352,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0353,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0354,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0355,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0356,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0357,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0358,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0359,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0360,0.8763998068239991,scr2008,stInflow,reservoir
AT,h0361,0.8871019783360219,scr2008,stInflow,reservoir
AT,h0362,0.8978054410377084,scr2008,stInflow,reservoir
AT,h0363,0.908510179841074,scr2008,stInflow,reservoir
AT,h0364,0.908510179841074,scr2008,stInflow,reservoir
AT,h0365,0.908510179841074,scr2008,stInflow,reservoir
AT,h0366,0.908510179841074,scr2008,stInflow,reservoir
AT,h0367,0.908510179841074,scr2008,stInflow,reservoir
AT,h0368,0.908510179841074,scr2008,stInflow,reservoir
AT,h0369,0.908510179841074,scr2008,stInflow,reservoir
AT,h0370,0.908510179841074,scr2008,stInflow,reservoir
AT,h0371,0.908510179841074,scr2008,stInflow,reservoir
AT,h0372,0.908510179841074,scr2008,stInflow,reservoir
AT,h0373,0.908510179841074,scr2008,stInflow,reservoir
AT,h0374,0.908510179841074,scr2008,stInflow,reservoir
AT,h0375,0.908510179841074,scr2008,stInflow,reservoir
AT,h0376,0.908510179841074,scr2008,stInflow,reservoir
AT,h0377,0.908510179841074,scr2008,stInflow,reservoir
AT,h0378,0.908510179841074,scr2008,stInflow,reservoir
AT,h0379,0.8563518915505326,scr2008,stInflow,reservoir
AT,h0380,0.8042253684516719,scr2008,stInflow,reservoir
AT,h0381,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0382,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0383,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0384,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0385,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0386,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0387,0.7521326296525866,scr2008,stInflow,reservoir
AT,h0388,0.7521326296525866,scr2008,stInflow,reservoir
