region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h4369,0.49629644424240216,scr2012,dem,electricity
AL,h4370,0.4445962704002583,scr2012,dem,electricity
AL,h4371,0.4082357005759883,scr2012,dem,electricity
AL,h4372,0.39247848834621635,scr2012,dem,electricity
AL,h4373,0.3874350016139502,scr2012,dem,electricity
AL,h4374,0.38632447575327733,scr2012,dem,electricity
AL,h4375,0.40567723749810786,scr2012,dem,electricity
AL,h4376,0.4485931205477685,scr2012,dem,electricity
AL,h4377,0.5089294170275573,scr2012,dem,electricity
AL,h4378,0.5578470172138841,scr2012,dem,electricity
AL,h4379,0.5807074762286915,scr2012,dem,electricity
AL,h4380,0.5914490460993933,scr2012,dem,electricity
AL,h4381,0.5976246863189414,scr2012,dem,electricity
AL,h4382,0.601395915418828,scr2012,dem,electricity
AL,h4383,0.5942504735150123,scr2012,dem,electricity
AL,h4384,0.5783198961295792,scr2012,dem,electricity
AL,h4385,0.5623907282862877,scr2012,dem,electricity
AL,h4386,0.5529011791451328,scr2012,dem,electricity
AL,h4387,0.5534103110311945,scr2012,dem,electricity
AL,h4388,0.5634211879666233,scr2012,dem,electricity
AL,h4389,0.5778420913312845,scr2012,dem,electricity
AL,h4390,0.6010787561833506,scr2012,dem,electricity
AL,h4391,0.6114827503066969,scr2012,dem,electricity
AL,h4392,0.5924169059642281,scr2012,dem,electricity
AL,h4393,0.5354508965436784,scr2012,dem,electricity
AL,h4394,0.4735209378596105,scr2012,dem,electricity
AL,h4395,0.4309499334734097,scr2012,dem,electricity
AL,h4396,0.4120048168860878,scr2012,dem,electricity
AL,h4397,0.40615109766151825,scr2012,dem,electricity
AL,h4398,0.4043224618484463,scr2012,dem,electricity
AL,h4399,0.42207481027795196,scr2012,dem,electricity
AL,h4400,0.46260184254117226,scr2012,dem,electricity
AL,h4401,0.520694469262986,scr2012,dem,electricity
AL,h4402,0.5675567378601227,scr2012,dem,electricity
AL,h4403,0.5899131271926421,scr2012,dem,electricity
AL,h4404,0.6007540833291145,scr2012,dem,electricity
AL,h4405,0.6071441523754071,scr2012,dem,electricity
AL,h4406,0.609469758728832,scr2012,dem,electricity
AL,h4407,0.6001829035980146,scr2012,dem,electricity
AL,h4408,0.5820793653635941,scr2012,dem,electricity
AL,h4409,0.5657029885702138,scr2012,dem,electricity
AL,h4410,0.5565177700781285,scr2012,dem,electricity
AL,h4411,0.5564682056970969,scr2012,dem,electricity
AL,h4412,0.5656188650144698,scr2012,dem,electricity
AL,h4413,0.579225932613153,scr2012,dem,electricity
AL,h4414,0.6023038115612587,scr2012,dem,electricity
AL,h4415,0.6127681535486083,scr2012,dem,electricity
AL,h4416,0.5946367324105337,scr2012,dem,electricity
AL,h4417,0.5387825469178609,scr2012,dem,electricity
AL,h4418,0.4772050922739934,scr2012,dem,electricity
AL,h4419,0.43368059473110865,scr2012,dem,electricity
AL,h4420,0.41431733909715124,scr2012,dem,electricity
AL,h4421,0.4081292446646819,scr2012,dem,electricity
AL,h4422,0.40672677485447867,scr2012,dem,electricity
AL,h4423,0.424413357552224,scr2012,dem,electricity
AL,h4424,0.4649999667867571,scr2012,dem,electricity
AL,h4425,0.5225751944068211,scr2012,dem,electricity
AL,h4426,0.5694616260350416,scr2012,dem,electricity
AL,h4427,0.5923913564933496,scr2012,dem,electricity
AL,h4428,0.6040279499029717,scr2012,dem,electricity
AL,h4429,0.6110693222040557,scr2012,dem,electricity
AL,h4430,0.6135709800590483,scr2012,dem,electricity
AL,h4431,0.6048005969422134,scr2012,dem,electricity
AL,h4432,0.587075839809142,scr2012,dem,electricity
AL,h4433,0.5704726852560489,scr2012,dem,electricity
AL,h4434,0.5610418455894355,scr2012,dem,electricity
AL,h4435,0.5605266353244531,scr2012,dem,electricity
AL,h4436,0.5695742992609134,scr2012,dem,electricity
AL,h4437,0.5825782420599694,scr2012,dem,electricity
AL,h4438,0.6049539249179323,scr2012,dem,electricity
AL,h4439,0.6150037666091452,scr2012,dem,electricity
AL,h4440,0.596689806957774,scr2012,dem,electricity
AL,h4441,0.5408816378470551,scr2012,dem,electricity
AL,h4442,0.4783118342042122,scr2012,dem,electricity
AL,h4443,0.4338994807515656,scr2012,dem,electricity
AL,h4444,0.4136868966994412,scr2012,dem,electricity
AL,h4445,0.4074894651851759,scr2012,dem,electricity
AL,h4446,0.40624587062329304,scr2012,dem,electricity
AL,h4447,0.4244491563623337,scr2012,dem,electricity
AL,h4448,0.4651966679322586,scr2012,dem,electricity
AL,h4449,0.5225947073898725,scr2012,dem,electricity
AL,h4450,0.5692047329093064,scr2012,dem,electricity
AL,h4451,0.5921584076339756,scr2012,dem,electricity
AL,h4452,0.6040504983477117,scr2012,dem,electricity
AL,h4453,0.6111399808477274,scr2012,dem,electricity
AL,h4454,0.6137528956287392,scr2012,dem,electricity
AL,h4455,0.6047765455113308,scr2012,dem,electricity
AL,h4456,0.5869496080856018,scr2012,dem,electricity
AL,h4457,0.5703735318327157,scr2012,dem,electricity
AL,h4458,0.560705381442725,scr2012,dem,electricity
AL,h4459,0.5603463879021395,scr2012,dem,electricity
AL,h4460,0.5692708341340567,scr2012,dem,electricity
AL,h4461,0.5826729088718736,scr2012,dem,electricity
AL,h4462,0.6052816272533217,scr2012,dem,electricity
AL,h4463,0.6156758198714734,scr2012,dem,electricity
AL,h4464,0.597713365021314,scr2012,dem,electricity
AL,h4465,0.5416414147701452,scr2012,dem,electricity
AL,h4466,0.48042791231524723,scr2012,dem,electricity
AL,h4467,0.43529357452367046,scr2012,dem,electricity
AL,h4468,0.4148573405479283,scr2012,dem,electricity
AL,h4469,0.406757467719905,scr2012,dem,electricity
AL,h4470,0.4055517742301215,scr2012,dem,electricity
AL,h4471,0.4243447557048533,scr2012,dem,electricity
AL,h4472,0.4670089943145396,scr2012,dem,electricity
AL,h4473,0.5244274674426577,scr2012,dem,electricity
AL,h4474,0.5698792678209776,scr2012,dem,electricity
AL,h4475,0.590816338437687,scr2012,dem,electricity
AL,h4476,0.6026254865459071,scr2012,dem,electricity
AL,h4477,0.6097914719671229,scr2012,dem,electricity
AL,h4478,0.6122915737227252,scr2012,dem,electricity
AL,h4479,0.6023428933272501,scr2012,dem,electricity
AL,h4480,0.5836842008578746,scr2012,dem,electricity
AL,h4481,0.5664240504064606,scr2012,dem,electricity
AL,h4482,0.5572552352483633,scr2012,dem,electricity
AL,h4483,0.558195480247027,scr2012,dem,electricity
AL,h4484,0.5679623476160398,scr2012,dem,electricity
AL,h4485,0.5810891376627154,scr2012,dem,electricity
AL,h4486,0.6026254868719323,scr2012,dem,electricity
AL,h4487,0.6124343971524948,scr2012,dem,electricity
AL,h4488,0.5963275833378927,scr2012,dem,electricity
AL,h4489,0.5429267541346543,scr2012,dem,electricity
AL,h4490,0.4828888903036672,scr2012,dem,electricity
AL,h4491,0.4381665537550701,scr2012,dem,electricity
AL,h4492,0.4177076657713585,scr2012,dem,electricity
AL,h4493,0.409176000531172,scr2012,dem,electricity
AL,h4494,0.4040333670441533,scr2012,dem,electricity
AL,h4495,0.41021619521810404,scr2012,dem,electricity
AL,h4496,0.4312616880288645,scr2012,dem,electricity
