region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.16989918725359865,scr2010,avaConv,wind
AL,h0002,0.18960346693562596,scr2010,avaConv,wind
AL,h0003,0.21007751674195554,scr2010,avaConv,wind
AL,h0004,0.25533743825667604,scr2010,avaConv,wind
AL,h0005,0.3067907607476105,scr2010,avaConv,wind
AL,h0006,0.36513739872418816,scr2010,avaConv,wind
AL,h0007,0.42102519655562454,scr2010,avaConv,wind
AL,h0008,0.46789502706180763,scr2010,avaConv,wind
AL,h0009,0.5054349246587583,scr2010,avaConv,wind
AL,h0010,0.5329237575943135,scr2010,avaConv,wind
AL,h0011,0.554344011628732,scr2010,avaConv,wind
AL,h0012,0.5657631103996367,scr2010,avaConv,wind
AL,h0013,0.5731053271413565,scr2010,avaConv,wind
AL,h0014,0.576784723148741,scr2010,avaConv,wind
AL,h0015,0.5802122447266818,scr2010,avaConv,wind
AL,h0016,0.5820051068528912,scr2010,avaConv,wind
AL,h0017,0.5850952663087629,scr2010,avaConv,wind
AL,h0018,0.5897407030741985,scr2010,avaConv,wind
AL,h0019,0.5963273530994863,scr2010,avaConv,wind
AL,h0020,0.6040119411467599,scr2010,avaConv,wind
AL,h0021,0.6121084655994463,scr2010,avaConv,wind
AL,h0022,0.6200917091792335,scr2010,avaConv,wind
AL,h0023,0.6247373162475307,scr2010,avaConv,wind
AL,h0024,0.6243688912801117,scr2010,avaConv,wind
AL,h0025,0.6193132062747053,scr2010,avaConv,wind
AL,h0026,0.6085151984429371,scr2010,avaConv,wind
AL,h0027,0.5964763442508666,scr2010,avaConv,wind
AL,h0028,0.5794498269468418,scr2010,avaConv,wind
AL,h0029,0.5607199026396256,scr2010,avaConv,wind
AL,h0030,0.5383177832738154,scr2010,avaConv,wind
AL,h0031,0.5180305108227095,scr2010,avaConv,wind
AL,h0032,0.5007262872339695,scr2010,avaConv,wind
AL,h0033,0.49098483077793637,scr2010,avaConv,wind
AL,h0034,0.49211887442301505,scr2010,avaConv,wind
AL,h0035,0.5002761020938797,scr2010,avaConv,wind
AL,h0036,0.5066188245109339,scr2010,avaConv,wind
AL,h0037,0.5099436423806466,scr2010,avaConv,wind
AL,h0038,0.5188561192411651,scr2010,avaConv,wind
AL,h0039,0.5287543427879862,scr2010,avaConv,wind
AL,h0040,0.5480482545156405,scr2010,avaConv,wind
AL,h0041,0.5709909069066496,scr2010,avaConv,wind
AL,h0042,0.6016010958403685,scr2010,avaConv,wind
AL,h0043,0.6287036900751657,scr2010,avaConv,wind
AL,h0044,0.6564111656144759,scr2010,avaConv,wind
AL,h0045,0.681032049476372,scr2010,avaConv,wind
AL,h0046,0.6943680396484103,scr2010,avaConv,wind
AL,h0047,0.6979191874755463,scr2010,avaConv,wind
AL,h0048,0.7061692114628906,scr2010,avaConv,wind
AL,h0049,0.7149119702587103,scr2010,avaConv,wind
AL,h0050,0.7264509357215274,scr2010,avaConv,wind
AL,h0051,0.7260378612861468,scr2010,avaConv,wind
AL,h0052,0.7287987933814686,scr2010,avaConv,wind
AL,h0053,0.7245309862660946,scr2010,avaConv,wind
AL,h0054,0.7266328068330323,scr2010,avaConv,wind
AL,h0055,0.7250890466726705,scr2010,avaConv,wind
AL,h0056,0.7308616144032583,scr2010,avaConv,wind
AL,h0057,0.7422621008462016,scr2010,avaConv,wind
AL,h0058,0.7686701929672782,scr2010,avaConv,wind
AL,h0059,0.7937234265548789,scr2010,avaConv,wind
AL,h0060,0.8049812555406827,scr2010,avaConv,wind
AL,h0061,0.8029024370502521,scr2010,avaConv,wind
AL,h0062,0.7914699727856732,scr2010,avaConv,wind
AL,h0063,0.7860165392401851,scr2010,avaConv,wind
AL,h0064,0.7691318958614474,scr2010,avaConv,wind
AL,h0065,0.7530661870985539,scr2010,avaConv,wind
AL,h0066,0.731579320256729,scr2010,avaConv,wind
AL,h0067,0.7201561776053181,scr2010,avaConv,wind
AL,h0068,0.7093855754491659,scr2010,avaConv,wind
AL,h0069,0.6965431107287833,scr2010,avaConv,wind
AL,h0070,0.681912668889493,scr2010,avaConv,wind
AL,h0071,0.6674640464663976,scr2010,avaConv,wind
AL,h0072,0.6594465021270928,scr2010,avaConv,wind
AL,h0073,0.6555811008417111,scr2010,avaConv,wind
AL,h0074,0.6543141038007398,scr2010,avaConv,wind
AL,h0075,0.6571800389930509,scr2010,avaConv,wind
AL,h0076,0.663707789311874,scr2010,avaConv,wind
AL,h0077,0.6752596979690202,scr2010,avaConv,wind
AL,h0078,0.6846875367146424,scr2010,avaConv,wind
AL,h0079,0.6927170653345657,scr2010,avaConv,wind
AL,h0080,0.6988677334089555,scr2010,avaConv,wind
AL,h0081,0.7174432653532089,scr2010,avaConv,wind
AL,h0082,0.7378948597634283,scr2010,avaConv,wind
AL,h0083,0.7541499100028803,scr2010,avaConv,wind
AL,h0084,0.7542533891277969,scr2010,avaConv,wind
AL,h0085,0.7477709755332707,scr2010,avaConv,wind
AL,h0086,0.740095076402115,scr2010,avaConv,wind
AL,h0087,0.7273647023898534,scr2010,avaConv,wind
AL,h0088,0.7058205360903661,scr2010,avaConv,wind
AL,h0089,0.6825359125165105,scr2010,avaConv,wind
AL,h0090,0.6640282132977129,scr2010,avaConv,wind
AL,h0091,0.6559505989555912,scr2010,avaConv,wind
AL,h0092,0.6508891969018735,scr2010,avaConv,wind
AL,h0093,0.6451135657993298,scr2010,avaConv,wind
AL,h0094,0.6367522325731918,scr2010,avaConv,wind
AL,h0095,0.6294219374295164,scr2010,avaConv,wind
AL,h0096,0.6155294389679374,scr2010,avaConv,wind
AL,h0097,0.5961501292480713,scr2010,avaConv,wind
AL,h0098,0.5739252413680566,scr2010,avaConv,wind
AL,h0099,0.5593069701029467,scr2010,avaConv,wind
AL,h0100,0.5548995006177992,scr2010,avaConv,wind
AL,h0101,0.5585118699738597,scr2010,avaConv,wind
AL,h0102,0.5705023134765725,scr2010,avaConv,wind
AL,h0103,0.5899530679314584,scr2010,avaConv,wind
AL,h0104,0.6104644676517188,scr2010,avaConv,wind
AL,h0105,0.6337442620611362,scr2010,avaConv,wind
AL,h0106,0.664254964774414,scr2010,avaConv,wind
AL,h0107,0.6848178368437012,scr2010,avaConv,wind
AL,h0108,0.7048243500031232,scr2010,avaConv,wind
AL,h0109,0.7025495198169975,scr2010,avaConv,wind
AL,h0110,0.7066683897347856,scr2010,avaConv,wind
AL,h0111,0.6949099261162122,scr2010,avaConv,wind
AL,h0112,0.685414523981091,scr2010,avaConv,wind
AL,h0113,0.6734395526761467,scr2010,avaConv,wind
AL,h0114,0.6692496696593269,scr2010,avaConv,wind
AL,h0115,0.6695485537625457,scr2010,avaConv,wind
AL,h0116,0.6711728120467366,scr2010,avaConv,wind
AL,h0117,0.6730641630560226,scr2010,avaConv,wind
AL,h0118,0.6753440160576366,scr2010,avaConv,wind
AL,h0119,0.6777779489571885,scr2010,avaConv,wind
AL,h0120,0.6789000895802769,scr2010,avaConv,wind
AL,h0121,0.679743066729859,scr2010,avaConv,wind
AL,h0122,0.6793301681415479,scr2010,avaConv,wind
AL,h0123,0.6795280491619918,scr2010,avaConv,wind
AL,h0124,0.6802821343977925,scr2010,avaConv,wind
AL,h0125,0.6872205868549298,scr2010,avaConv,wind
AL,h0126,0.688228509888926,scr2010,avaConv,wind
AL,h0127,0.6884998826614246,scr2010,avaConv,wind
AL,h0128,0.6830082572849602,scr2010,avaConv,wind
AL,h0129,0.6834335895265801,scr2010,avaConv,wind
AL,h0130,0.6831464149944895,scr2010,avaConv,wind
AL,h0131,0.6827302288664924,scr2010,avaConv,wind
AL,h0132,0.6799300377578776,scr2010,avaConv,wind
AL,h0133,0.6716178315892717,scr2010,avaConv,wind
AL,h0134,0.6552978323378393,scr2010,avaConv,wind
AL,h0135,0.631572449178658,scr2010,avaConv,wind
AL,h0136,0.602389099092039,scr2010,avaConv,wind
AL,h0137,0.5652148790212417,scr2010,avaConv,wind
AL,h0138,0.5269679019629318,scr2010,avaConv,wind
AL,h0139,0.49119109647959563,scr2010,avaConv,wind
AL,h0140,0.4700160261787286,scr2010,avaConv,wind
AL,h0141,0.45786211590004827,scr2010,avaConv,wind
AL,h0142,0.45540625681047564,scr2010,avaConv,wind
AL,h0143,0.4592283966676404,scr2010,avaConv,wind
AL,h0144,0.46611637688591434,scr2010,avaConv,wind
AL,h0145,0.4716254592903377,scr2010,avaConv,wind
AL,h0146,0.46793626613951494,scr2010,avaConv,wind
AL,h0147,0.4565522596415449,scr2010,avaConv,wind
AL,h0148,0.4390945484990285,scr2010,avaConv,wind
AL,h0149,0.41688691796685295,scr2010,avaConv,wind
AL,h0150,0.38875458686509035,scr2010,avaConv,wind
AL,h0151,0.3552938673936634,scr2010,avaConv,wind
AL,h0152,0.32150407825926086,scr2010,avaConv,wind
AL,h0153,0.29639119622515897,scr2010,avaConv,wind
AL,h0154,0.287663734129633,scr2010,avaConv,wind
