region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0721,9.881333691621347,scr2006,dem,electricity
AL,h0722,9.962147500983397,scr2006,dem,electricity
AL,h0723,9.974295589077933,scr2006,dem,electricity
AL,h0724,9.972586488684398,scr2006,dem,electricity
AL,h0725,10.038380937486435,scr2006,dem,electricity
AL,h0726,10.278580698300734,scr2006,dem,electricity
AL,h0727,10.636793063892702,scr2006,dem,electricity
AL,h0728,10.964074156589945,scr2006,dem,electricity
AL,h0729,11.086762267540854,scr2006,dem,electricity
AL,h0730,10.976181223398923,scr2006,dem,electricity
AL,h0731,10.711983917269075,scr2006,dem,electricity
AL,h0732,10.388236580834729,scr2006,dem,electricity
AL,h0733,10.054898180401535,scr2006,dem,electricity
AL,h0734,9.74801514374345,scr2006,dem,electricity
AL,h0735,9.551637434429681,scr2006,dem,electricity
AL,h0736,9.635271466883637,scr2006,dem,electricity
AL,h0737,10.103412261436754,scr2006,dem,electricity
AL,h0738,10.668305833735442,scr2006,dem,electricity
AL,h0739,10.919459853267702,scr2006,dem,electricity
AL,h0740,10.76829270071804,scr2006,dem,electricity
AL,h0741,10.58418450665841,scr2006,dem,electricity
AL,h0742,10.637680634545,scr2006,dem,electricity
AL,h0743,10.794442673086374,scr2006,dem,electricity
AL,h0744,10.975908255701375,scr2006,dem,electricity
AL,h0745,11.139084946642903,scr2006,dem,electricity
AL,h0746,11.33752425004453,scr2006,dem,electricity
AL,h0747,11.45152757718741,scr2006,dem,electricity
AL,h0748,11.5313214992755,scr2006,dem,electricity
AL,h0749,11.686838355662568,scr2006,dem,electricity
AL,h0750,12.041782132915916,scr2006,dem,electricity
AL,h0751,12.528559704836523,scr2006,dem,electricity
AL,h0752,12.969996075540795,scr2006,dem,electricity
AL,h0753,13.163463292843618,scr2006,dem,electricity
AL,h0754,13.075818763268376,scr2006,dem,electricity
AL,h0755,12.802941243016846,scr2006,dem,electricity
AL,h0756,12.453665554314851,scr2006,dem,electricity
AL,h0757,12.086726690733629,scr2006,dem,electricity
AL,h0758,11.744132099244403,scr2006,dem,electricity
AL,h0759,11.530664137460194,scr2006,dem,electricity
AL,h0760,11.653714616520384,scr2006,dem,electricity
AL,h0761,12.237861995045794,scr2006,dem,electricity
AL,h0762,12.929124101492704,scr2006,dem,electricity
AL,h0763,13.231004200391439,scr2006,dem,electricity
AL,h0764,13.038987590078516,scr2006,dem,electricity
AL,h0765,12.810485646794348,scr2006,dem,electricity
AL,h0766,12.87029185196796,scr2006,dem,electricity
AL,h0767,13.058956715113837,scr2006,dem,electricity
AL,h0768,13.27842853248738,scr2006,dem,electricity
AL,h0769,13.474728321042509,scr2006,dem,electricity
AL,h0770,13.706970814622277,scr2006,dem,electricity
AL,h0771,13.829812603051533,scr2006,dem,electricity
AL,h0772,13.90704034982046,scr2006,dem,electricity
AL,h0773,14.073842957140426,scr2006,dem,electricity
AL,h0774,14.477392143724817,scr2006,dem,electricity
AL,h0775,15.033667692785734,scr2006,dem,electricity
AL,h0776,15.530702209732413,scr2006,dem,electricity
AL,h0777,15.72861136190712,scr2006,dem,electricity
AL,h0778,15.593311969813549,scr2006,dem,electricity
AL,h0779,15.241044954649322,scr2006,dem,electricity
