timestep_5,region_3,technology_3,parameter,value
h0001,01ES,onshore_b,avaConv,0.27260645
h0002,01ES,onshore_b,avaConv,0.27098726
h0003,01ES,onshore_b,avaConv,0.27046999
h0004,01ES,onshore_b,avaConv,0.26960704
h0005,01ES,onshore_b,avaConv,0.26870241
h0006,01ES,onshore_b,avaConv,0.26789639
h0007,01ES,onshore_b,avaConv,0.26396301
h0008,01ES,onshore_b,avaConv,0.25112073
h0009,01ES,onshore_b,avaConv,0.23266412
h0010,01ES,onshore_b,avaConv,0.2225367
h0011,01ES,onshore_b,avaConv,0.22493134
h0012,01ES,onshore_b,avaConv,0.23661442
h0013,01ES,onshore_b,avaConv,0.25616141
h0014,01ES,onshore_b,avaConv,0.27903816
h0015,01ES,onshore_b,avaConv,0.30018727
h0016,01ES,onshore_b,avaConv,0.317342
h0017,01ES,onshore_b,avaConv,0.32673176
h0018,01ES,onshore_b,avaConv,0.3250696
h0019,01ES,onshore_b,avaConv,0.3146637
h0020,01ES,onshore_b,avaConv,0.30091146
h0021,01ES,onshore_b,avaConv,0.29151588
h0022,01ES,onshore_b,avaConv,0.2865242
h0023,01ES,onshore_b,avaConv,0.28230392
h0024,01ES,onshore_b,avaConv,0.27692472
h0025,01ES,onshore_b,avaConv,0.39980195
h0026,01ES,onshore_b,avaConv,0.40086914
h0027,01ES,onshore_b,avaConv,0.40371901
h0028,01ES,onshore_b,avaConv,0.40665766
h0029,01ES,onshore_b,avaConv,0.40474714
h0030,01ES,onshore_b,avaConv,0.40311686
h0031,01ES,onshore_b,avaConv,0.40253883
h0032,01ES,onshore_b,avaConv,0.40287358
h0033,01ES,onshore_b,avaConv,0.40101516
h0034,01ES,onshore_b,avaConv,0.39179721
h0035,01ES,onshore_b,avaConv,0.38284708
h0036,01ES,onshore_b,avaConv,0.3818572
h0037,01ES,onshore_b,avaConv,0.38621786
h0038,01ES,onshore_b,avaConv,0.3920108
h0039,01ES,onshore_b,avaConv,0.39767587
h0040,01ES,onshore_b,avaConv,0.40074433
h0041,01ES,onshore_b,avaConv,0.39759478
h0042,01ES,onshore_b,avaConv,0.39106737
h0043,01ES,onshore_b,avaConv,0.38968098
h0044,01ES,onshore_b,avaConv,0.3918236
h0045,01ES,onshore_b,avaConv,0.39519965
h0046,01ES,onshore_b,avaConv,0.39764722
h0047,01ES,onshore_b,avaConv,0.3970415
h0048,01ES,onshore_b,avaConv,0.39613831
h0001,02ES,onshore_b,avaConv,0.19885307
h0002,02ES,onshore_b,avaConv,0.19270548
h0003,02ES,onshore_b,avaConv,0.18591073
h0004,02ES,onshore_b,avaConv,0.18079184
h0005,02ES,onshore_b,avaConv,0.17617612
h0006,02ES,onshore_b,avaConv,0.17150233
h0007,02ES,onshore_b,avaConv,0.16487348
h0008,02ES,onshore_b,avaConv,0.1489644
h0009,02ES,onshore_b,avaConv,0.12968509
h0010,02ES,onshore_b,avaConv,0.12103241
h0011,02ES,onshore_b,avaConv,0.12349052
h0012,02ES,onshore_b,avaConv,0.13101865
h0013,02ES,onshore_b,avaConv,0.14065517
h0014,02ES,onshore_b,avaConv,0.14971533
h0015,02ES,onshore_b,avaConv,0.1583249
h0016,02ES,onshore_b,avaConv,0.16545254
h0017,02ES,onshore_b,avaConv,0.17148652
h0018,02ES,onshore_b,avaConv,0.17495612
h0019,02ES,onshore_b,avaConv,0.17531196
h0020,02ES,onshore_b,avaConv,0.17886202
h0021,02ES,onshore_b,avaConv,0.19230508
h0022,02ES,onshore_b,avaConv,0.20891817
h0023,02ES,onshore_b,avaConv,0.21372624
h0024,02ES,onshore_b,avaConv,0.20824893
h0025,02ES,onshore_b,avaConv,0.32193571
h0026,02ES,onshore_b,avaConv,0.32344673
h0027,02ES,onshore_b,avaConv,0.32505567
h0028,02ES,onshore_b,avaConv,0.32930997
h0029,02ES,onshore_b,avaConv,0.33421954
h0030,02ES,onshore_b,avaConv,0.3353317
h0031,02ES,onshore_b,avaConv,0.33333226
h0032,02ES,onshore_b,avaConv,0.33365204
h0033,02ES,onshore_b,avaConv,0.33223259
h0034,02ES,onshore_b,avaConv,0.32163507
h0035,02ES,onshore_b,avaConv,0.31126264
h0036,02ES,onshore_b,avaConv,0.30876831
h0037,02ES,onshore_b,avaConv,0.30819231
h0038,02ES,onshore_b,avaConv,0.30751044
h0039,02ES,onshore_b,avaConv,0.30628813
h0040,02ES,onshore_b,avaConv,0.30560179
h0041,02ES,onshore_b,avaConv,0.30081708
h0042,02ES,onshore_b,avaConv,0.29258247
h0043,02ES,onshore_b,avaConv,0.29332829
h0044,02ES,onshore_b,avaConv,0.30264854
h0045,02ES,onshore_b,avaConv,0.31329235
h0046,02ES,onshore_b,avaConv,0.31711521
h0047,02ES,onshore_b,avaConv,0.31633392
h0048,02ES,onshore_b,avaConv,0.31399396
h0001,03ES,onshore_b,avaConv,0.2644301
h0002,03ES,onshore_b,avaConv,0.25494408
h0003,03ES,onshore_b,avaConv,0.24818786
h0004,03ES,onshore_b,avaConv,0.24342482
h0005,03ES,onshore_b,avaConv,0.23917801
h0006,03ES,onshore_b,avaConv,0.23587416
h0007,03ES,onshore_b,avaConv,0.22859831
h0008,03ES,onshore_b,avaConv,0.20510041
h0009,03ES,onshore_b,avaConv,0.17926233
h0010,03ES,onshore_b,avaConv,0.1736026
h0011,03ES,onshore_b,avaConv,0.18137242
h0012,03ES,onshore_b,avaConv,0.19214832
h0013,03ES,onshore_b,avaConv,0.20310903
h0014,03ES,onshore_b,avaConv,0.21380314
h0015,03ES,onshore_b,avaConv,0.22373023
h0016,03ES,onshore_b,avaConv,0.23519856
h0017,03ES,onshore_b,avaConv,0.24707064
h0018,03ES,onshore_b,avaConv,0.25663368
h0019,03ES,onshore_b,avaConv,0.26456192
h0020,03ES,onshore_b,avaConv,0.27529425
h0021,03ES,onshore_b,avaConv,0.28826271
h0022,03ES,onshore_b,avaConv,0.29389008
h0023,03ES,onshore_b,avaConv,0.28735486
h0024,03ES,onshore_b,avaConv,0.27495741
h0025,03ES,onshore_b,avaConv,0.39971753
h0026,03ES,onshore_b,avaConv,0.40039012
h0027,03ES,onshore_b,avaConv,0.40159918
h0028,03ES,onshore_b,avaConv,0.40258162
h0029,03ES,onshore_b,avaConv,0.40370805
h0030,03ES,onshore_b,avaConv,0.40365971
h0031,03ES,onshore_b,avaConv,0.40181339
h0032,03ES,onshore_b,avaConv,0.40144295
h0033,03ES,onshore_b,avaConv,0.39993464
h0034,03ES,onshore_b,avaConv,0.39483485
h0035,03ES,onshore_b,avaConv,0.39211944
h0036,03ES,onshore_b,avaConv,0.39745133
h0037,03ES,onshore_b,avaConv,0.40468714
h0038,03ES,onshore_b,avaConv,0.40932513
h0039,03ES,onshore_b,avaConv,0.41072468
h0040,03ES,onshore_b,avaConv,0.40749475
h0041,03ES,onshore_b,avaConv,0.39877948
h0042,03ES,onshore_b,avaConv,0.39188872
h0043,03ES,onshore_b,avaConv,0.39473698
h0044,03ES,onshore_b,avaConv,0.40222472
h0045,03ES,onshore_b,avaConv,0.40454454
h0046,03ES,onshore_b,avaConv,0.40281031
h0047,03ES,onshore_b,avaConv,0.39967043
h0048,03ES,onshore_b,avaConv,0.3971265
h0001,04ES,onshore_b,avaConv,0.18665817
h0002,04ES,onshore_b,avaConv,0.18344456
h0003,04ES,onshore_b,avaConv,0.17998981
h0004,04ES,onshore_b,avaConv,0.17564139
h0005,04ES,onshore_b,avaConv,0.17394011
h0006,04ES,onshore_b,avaConv,0.17316689
h0007,04ES,onshore_b,avaConv,0.17024437
h0008,04ES,onshore_b,avaConv,0.16122063
h0009,04ES,onshore_b,avaConv,0.15279027
h0010,04ES,onshore_b,avaConv,0.15275926
h0011,04ES,onshore_b,avaConv,0.15839214
h0012,04ES,onshore_b,avaConv,0.16593005
h0013,04ES,onshore_b,avaConv,0.17612126
h0014,04ES,onshore_b,avaConv,0.18843103
h0015,04ES,onshore_b,avaConv,0.20254275
h0016,04ES,onshore_b,avaConv,0.21839646
h0017,04ES,onshore_b,avaConv,0.23362826
h0018,04ES,onshore_b,avaConv,0.2400668
h0019,04ES,onshore_b,avaConv,0.23634094
h0020,04ES,onshore_b,avaConv,0.22677371
h0021,04ES,onshore_b,avaConv,0.21879664
h0022,04ES,onshore_b,avaConv,0.21015475
h0023,04ES,onshore_b,avaConv,0.20106882
h0024,04ES,onshore_b,avaConv,0.19403467
h0025,04ES,onshore_b,avaConv,0.31684881
h0026,04ES,onshore_b,avaConv,0.31705181
h0027,04ES,onshore_b,avaConv,0.3163891
h0028,04ES,onshore_b,avaConv,0.31701934
h0029,04ES,onshore_b,avaConv,0.32137313
h0030,04ES,onshore_b,avaConv,0.32735559
h0031,04ES,onshore_b,avaConv,0.33123392
h0032,04ES,onshore_b,avaConv,0.33120742
h0033,04ES,onshore_b,avaConv,0.32693336
h0034,04ES,onshore_b,avaConv,0.3213116
h0035,04ES,onshore_b,avaConv,0.32399574
h0036,04ES,onshore_b,avaConv,0.33625624
h0037,04ES,onshore_b,avaConv,0.35013706
h0038,04ES,onshore_b,avaConv,0.35856483
h0039,04ES,onshore_b,avaConv,0.35914541
h0040,04ES,onshore_b,avaConv,0.34983453
h0041,04ES,onshore_b,avaConv,0.33084669
h0042,04ES,onshore_b,avaConv,0.31183027
h0043,04ES,onshore_b,avaConv,0.3015854
h0044,04ES,onshore_b,avaConv,0.29978026
h0045,04ES,onshore_b,avaConv,0.30142858
h0046,04ES,onshore_b,avaConv,0.30176055
h0047,04ES,onshore_b,avaConv,0.30430293
h0048,04ES,onshore_b,avaConv,0.30749473
h0001,05ES,onshore_b,avaConv,0.12133457
h0002,05ES,onshore_b,avaConv,0.10987781
h0003,05ES,onshore_b,avaConv,0.09935612
h0004,05ES,onshore_b,avaConv,0.08968636
h0005,05ES,onshore_b,avaConv,0.08286509
h0006,05ES,onshore_b,avaConv,0.07856936
h0007,05ES,onshore_b,avaConv,0.07584141
h0008,05ES,onshore_b,avaConv,0.07729442
h0009,05ES,onshore_b,avaConv,0.08513978
h0010,05ES,onshore_b,avaConv,0.0941047
