timestep_5,region_3,technology_2,parameter,value
h0001,01ES,rooftopInd_b,avaConv,0
h0002,01ES,rooftopInd_b,avaConv,0
h0003,01ES,rooftopInd_b,avaConv,0
h0004,01ES,rooftopInd_b,avaConv,0
h0005,01ES,rooftopInd_b,avaConv,0
h0006,01ES,rooftopInd_b,avaConv,0.00633202
h0007,01ES,rooftopInd_b,avaConv,0.04963007
h0008,01ES,rooftopInd_b,avaConv,0.17888287
h0009,01ES,rooftopInd_b,avaConv,0.34821773
h0010,01ES,rooftopInd_b,avaConv,0.51594841
h0011,01ES,rooftopInd_b,avaConv,0.64721857
h0012,01ES,rooftopInd_b,avaConv,0.72939518
h0013,01ES,rooftopInd_b,avaConv,0.75825299
h0014,01ES,rooftopInd_b,avaConv,0.73135616
h0015,01ES,rooftopInd_b,avaConv,0.65089035
h0016,01ES,rooftopInd_b,avaConv,0.52786085
h0017,01ES,rooftopInd_b,avaConv,0.37223745
h0018,01ES,rooftopInd_b,avaConv,0.20295042
h0019,01ES,rooftopInd_b,avaConv,0.06279189
h0020,01ES,rooftopInd_b,avaConv,0.01000338
h0021,01ES,rooftopInd_b,avaConv,0
h0022,01ES,rooftopInd_b,avaConv,0
h0023,01ES,rooftopInd_b,avaConv,0
h0024,01ES,rooftopInd_b,avaConv,0
h0025,01ES,rooftopInd_b,avaConv,0
h0026,01ES,rooftopInd_b,avaConv,0
h0027,01ES,rooftopInd_b,avaConv,0
h0028,01ES,rooftopInd_b,avaConv,0
h0029,01ES,rooftopInd_b,avaConv,0
h0030,01ES,rooftopInd_b,avaConv,0
h0031,01ES,rooftopInd_b,avaConv,0
h0032,01ES,rooftopInd_b,avaConv,0.01196864
h0033,01ES,rooftopInd_b,avaConv,0.10331106
h0034,01ES,rooftopInd_b,avaConv,0.24016511
h0035,01ES,rooftopInd_b,avaConv,0.35895127
h0036,01ES,rooftopInd_b,avaConv,0.44670051
h0037,01ES,rooftopInd_b,avaConv,0.48186708
h0038,01ES,rooftopInd_b,avaConv,0.45577769
h0039,01ES,rooftopInd_b,avaConv,0.384672
h0040,01ES,rooftopInd_b,avaConv,0.27651482
h0041,01ES,rooftopInd_b,avaConv,0.13629499
h0042,01ES,rooftopInd_b,avaConv,0.03006892
h0043,01ES,rooftopInd_b,avaConv,0.00024251
h0044,01ES,rooftopInd_b,avaConv,0
h0045,01ES,rooftopInd_b,avaConv,0
h0046,01ES,rooftopInd_b,avaConv,0
h0047,01ES,rooftopInd_b,avaConv,0
h0048,01ES,rooftopInd_b,avaConv,0
h0001,02ES,rooftopInd_b,avaConv,0
h0002,02ES,rooftopInd_b,avaConv,0
h0003,02ES,rooftopInd_b,avaConv,0
h0004,02ES,rooftopInd_b,avaConv,0
h0005,02ES,rooftopInd_b,avaConv,0
h0006,02ES,rooftopInd_b,avaConv,0.00477982
h0007,02ES,rooftopInd_b,avaConv,0.0281988
h0008,02ES,rooftopInd_b,avaConv,0.12150323
h0009,02ES,rooftopInd_b,avaConv,0.27801956
h0010,02ES,rooftopInd_b,avaConv,0.46268435
h0011,02ES,rooftopInd_b,avaConv,0.63054712
h0012,02ES,rooftopInd_b,avaConv,0.74301984
h0013,02ES,rooftopInd_b,avaConv,0.77395377
h0014,02ES,rooftopInd_b,avaConv,0.72052674
h0015,02ES,rooftopInd_b,avaConv,0.59986928
h0016,02ES,rooftopInd_b,avaConv,0.43522595
h0017,02ES,rooftopInd_b,avaConv,0.2552551
h0018,02ES,rooftopInd_b,avaConv,0.10263645
h0019,02ES,rooftopInd_b,avaConv,0.01966989
h0020,02ES,rooftopInd_b,avaConv,0.00338691
